Produto,Categoria,Vendas
Cafeteira,Eletrodomésticos,1053
Relógio Inteligente,Acessórios,1731
TV 4K,Eletrônicos,3073
Smartphone,Eletrônicos,3496
Tênis Esportivo,Vestuário,2312
Notebook,Eletrônicos,2060
Fone de Ouvido,Acessórios,2250
Jaqueta de Couro,Vestuário,1662
Geladeira,Eletrodomésticos,1284
Livro de Ficção,Livros,1650
Livro de Romance,Livros,1823
Micro-ondas,Eletrodomésticos,1450
Tablet,Eletrônicos,2890
Câmera Digital,Eletrônicos,1980
Mochila,Acessórios,1540
Bicicleta,Vestuário,2100
Ar Condicionado,Eletrodomésticos,1750
Headset Gamer,Acessórios,2400
Blusa de Lã,Vestuário,1300
Livro de História,Livros,1900
Smartwatch,Acessórios,2200
Lava-louças,Eletrodomésticos,1600
Drone,Eletrônicos,2750
Tênis de Corrida,Vestuário,1950
Monitor 4K,Eletrônicos,3100
Cafeteira Expresso,Eletrodomésticos,1400
Câmera de Ação,Eletrônicos,1800
Carregador Portátil,Acessórios,1450
Vestido de Verão,Vestuário,1700
Livro de Ciência,Livros,2000
Aspirador de Pó,Eletrodomésticos,1500
Smart Speaker,Eletrônicos,2300
Patins,Vestuário,1400
Ventilador,Eletrodomésticos,1300
Projetor,Eletrônicos,2500
Impressora,Eletrônicos,2200
Liquidificador,Eletrodomésticos,1200
Churrasqueira,Eletrodomésticos,1700
Câmera de Segurança,Eletrônicos,2000
Secador de Cabelo,Eletrodomésticos,1100
Roteador Wi-Fi,Eletrônicos,1800
Carregador Sem Fio,Acessórios,1300
Tênis Casual,Vestuário,1600
Livro de Aventura,Livros,1752
